;Actual Value;Prediction
0;1;2
1;1;1
2;1;1
3;1;1
4;1;1
5;1;1
6;1;1
7;1;1
8;1;1
9;1;1
10;1;2
11;1;2
12;1;2
13;1;2
14;1;2
15;1;2
16;1;3
17;1;2
18;1;2
19;1;2
20;1;1
21;1;1
22;1;1
23;1;1
24;1;1
25;1;1
26;1;1
27;1;1
28;1;2
29;1;1
30;1;2
31;1;1
32;1;1
33;1;1
34;1;1
35;1;1
36;1;1
37;1;1
38;1;1
39;1;1
40;1;1
41;1;1
42;1;1
43;1;1
44;1;1
45;1;1
46;1;1
47;1;1
48;1;1
49;1;1
50;1;1
51;1;1
52;1;1
53;1;1
54;1;1
55;1;1
56;1;1
57;1;1
58;1;1
59;1;1
60;1;1
61;1;1
62;1;1
63;1;1
64;1;1
65;1;1
66;1;1
67;1;1
68;1;1
69;1;1
70;1;1
71;1;1
72;1;1
73;1;1
74;1;1
75;1;1
76;1;1
77;1;1
78;1;1
79;1;1
80;1;1
81;1;1
82;1;1
83;1;1
84;1;1
85;1;1
86;1;1
87;1;1
88;1;1
89;1;1
90;1;1
91;1;1
92;1;1
93;1;1
94;1;1
95;1;1
96;1;1
97;1;1
98;1;1
99;1;1
100;1;1
101;1;1
102;1;1
103;1;1
104;1;1
105;1;1
106;1;1
107;1;1
108;1;2
109;1;1
110;1;1
111;1;1
112;1;1
113;1;1
114;1;1
115;1;1
116;1;1
117;1;1
118;1;1
119;1;1
120;1;1
121;1;1
122;1;1
123;1;1
124;1;1
125;1;1
126;1;1
127;1;1
128;1;1
129;1;1
130;1;1
131;1;1
132;1;1
133;1;1
134;1;1
135;1;1
136;1;1
137;1;1
138;1;1
139;1;2
140;1;1
141;1;1
142;1;1
143;1;1
144;1;1
145;1;1
146;1;1
147;1;1
148;1;2
149;1;2
150;1;1
151;1;1
152;1;1
153;1;2
154;1;1
155;1;1
156;1;1
157;1;1
158;1;2
159;1;1
160;1;1
161;1;1
162;1;1
163;1;1
164;1;1
165;1;1
166;1;1
167;1;1
168;1;1
169;1;1
170;1;1
171;1;1
172;1;1
173;1;1
174;1;1
175;1;1
176;1;1
177;1;1
178;1;1
179;1;1
180;1;1
181;1;1
182;1;1
183;1;1
184;1;1
185;1;1
186;1;1
187;1;1
188;1;1
189;1;1
190;1;1
191;1;1
192;1;1
193;1;1
194;1;1
195;1;1
196;1;1
197;1;1
198;1;2
199;1;1
200;1;1
201;1;1
202;1;1
203;1;2
204;1;1
205;1;2
206;1;1
207;1;1
208;1;1
209;1;1
210;1;1
211;1;1
212;1;1
213;1;1
214;1;1
215;1;1
216;1;1
217;1;1
218;1;1
219;1;1
220;1;1
221;1;1
222;1;1
223;1;1
224;1;1
225;1;1
226;1;1
227;1;1
228;1;1
229;1;2
230;1;2
231;1;1
232;1;1
233;1;2
234;1;1
235;1;1
236;1;1
237;1;1
238;1;1
239;1;1
240;1;1
241;1;1
242;1;1
243;1;1
244;1;1
245;1;1
246;1;1
247;1;1
248;1;1
249;1;1
250;1;1
251;1;1
252;1;2
253;1;2
254;1;1
255;1;1
256;1;1
257;1;1
258;1;2
259;1;1
260;1;1
261;1;1
262;1;1
263;1;1
264;1;1
265;1;1
266;1;1
267;1;1
268;1;1
269;1;1
270;1;1
271;1;2
272;1;1
273;1;1
274;1;1
275;1;1
276;1;1
277;1;1
278;1;1
279;1;1
280;1;1
281;1;1
282;1;1
283;1;1
284;1;1
285;1;1
286;1;1
287;1;1
288;1;1
289;1;1
290;1;1
291;1;1
292;1;1
293;1;1
294;1;1
295;1;1
296;1;1
297;1;1
298;1;1
299;1;1
300;1;1
301;1;1
302;1;1
303;1;1
304;1;2
305;1;1
306;1;1
307;1;1
308;1;2
309;1;1
310;1;1
311;1;1
312;1;1
313;1;1
314;1;1
315;1;1
316;1;1
317;1;1
318;1;1
319;1;1
320;1;1
321;1;1
322;1;1
323;1;1
324;1;1
325;1;1
326;1;1
327;1;1
328;1;1
329;1;2
330;1;1
331;1;1
332;1;1
333;1;1
334;1;1
335;1;1
336;1;1
337;1;1
338;1;1
339;1;1
340;1;1
341;1;1
342;1;1
343;1;1
344;1;1
345;1;2
346;1;2
347;1;2
348;1;2
349;1;2
350;1;1
351;1;1
352;1;2
353;1;2
354;1;2
355;1;1
356;1;1
357;1;1
358;1;1
359;1;1
360;1;1
361;1;2
362;2;2
363;2;2
364;2;2
365;2;2
366;2;2
367;2;2
368;2;2
369;2;2
370;2;2
371;2;2
372;2;2
373;2;2
374;2;2
375;2;2
376;2;2
377;2;2
378;2;2
379;2;2
380;2;2
381;2;2
382;2;2
383;2;3
384;2;2
385;2;2
386;2;2
387;2;2
388;2;2
389;2;2
390;2;2
391;2;2
392;2;2
393;2;2
394;2;2
395;2;2
396;2;2
397;2;2
398;2;2
399;2;2
400;2;2
401;2;2
402;2;2
403;2;2
404;2;2
405;2;2
406;2;2
407;2;2
408;2;2
409;2;2
410;2;2
411;2;2
412;2;2
413;2;2
414;2;2
415;2;2
416;2;2
417;2;2
418;2;2
419;2;2
420;2;2
421;2;2
422;2;2
423;2;2
424;2;2
425;2;2
426;2;2
427;2;2
428;2;2
429;2;2
430;2;2
431;2;2
432;2;2
433;2;2
434;2;2
435;2;2
436;2;2
437;2;2
438;2;2
439;2;2
440;2;2
441;2;2
442;2;3
443;2;2
444;2;2
445;2;2
446;2;2
447;2;2
448;2;2
449;2;2
450;2;2
451;2;2
452;2;2
453;2;2
454;2;2
455;2;2
456;2;2
457;2;2
458;2;2
459;2;2
460;2;2
461;2;2
462;2;3
463;2;2
464;2;2
465;2;2
466;2;2
467;2;2
468;2;2
469;2;2
470;2;2
471;2;2
472;2;2
473;2;2
474;2;3
475;2;3
476;2;2
477;2;2
478;2;2
479;2;2
480;2;2
481;2;2
482;2;2
483;2;2
484;2;2
485;2;2
486;2;2
487;2;2
488;2;2
489;2;2
490;2;2
491;2;2
492;2;2
493;2;2
494;2;2
495;2;2
496;2;2
497;2;2
498;2;2
499;2;3
500;2;2
501;2;2
502;2;2
503;2;2
504;2;2
505;2;2
506;2;2
507;2;2
508;2;2
509;2;2
510;2;2
511;2;3
512;2;2
513;2;2
514;2;2
515;2;2
516;2;2
517;2;3
518;2;2
519;2;3
520;2;2
521;2;2
522;2;2
523;2;2
524;2;2
525;2;2
526;2;2
527;2;2
528;2;2
529;2;2
530;2;2
531;2;3
532;2;2
533;2;2
534;2;2
535;2;3
536;2;3
537;2;2
538;2;2
539;2;2
540;2;2
541;2;2
542;2;2
543;2;2
544;2;2
545;2;2
546;2;2
547;2;3
548;2;3
549;2;2
550;2;3
551;2;3
552;2;3
553;2;1
554;2;2
555;2;2
556;2;2
557;2;2
558;2;2
559;2;2
560;2;2
561;2;2
562;2;2
563;2;1
564;2;1
565;2;1
566;2;2
567;2;2
568;2;2
569;2;2
570;2;2
571;2;2
572;2;2
573;2;2
574;2;2
575;2;2
576;2;2
577;2;2
578;2;2
579;2;2
580;2;2
581;2;2
582;2;1
583;2;1
584;2;1
585;2;1
586;2;1
587;2;2
588;2;1
589;2;2
590;2;2
591;2;1
592;2;1
593;2;2
594;2;2
595;2;2
596;2;2
597;2;1
598;2;1
599;2;1
600;2;1
601;2;1
602;2;1
603;2;1
604;2;1
605;2;2
606;2;2
607;2;2
608;2;1
609;2;1
610;2;2
611;2;1
612;2;2
613;2;2
614;2;1
615;2;3
616;2;1
617;2;2
618;2;3
619;2;2
620;2;2
621;2;2
622;2;2
623;2;2
624;2;2
625;2;2
626;2;1
627;2;1
628;2;2
629;2;3
630;2;2
631;2;2
632;2;2
633;2;2
634;2;1
635;2;2
636;2;1
637;2;2
638;2;2
639;2;2
640;2;1
641;2;1
642;2;1
643;2;1
644;2;1
645;2;1
646;2;2
647;2;2
648;2;1
649;2;1
650;2;2
651;2;1
652;2;1
653;2;2
654;2;2
655;2;2
656;2;2
657;2;2
658;2;2
659;2;2
660;2;2
661;2;2
662;2;2
663;2;2
664;2;2
665;2;2
666;2;2
667;2;2
668;2;2
669;2;2
670;2;2
671;2;2
672;2;2
673;2;2
674;2;2
675;2;2
676;2;2
677;2;2
678;2;2
679;2;1
680;2;2
681;2;2
682;2;2
683;2;2
684;2;2
685;2;2
686;2;2
687;2;1
688;2;1
689;2;1
690;2;1
691;2;1
692;2;1
693;2;3
694;2;2
695;2;2
696;2;2
697;2;2
698;2;2
699;2;2
700;2;2
701;2;2
702;2;2
703;2;2
704;2;2
705;2;2
706;2;2
707;2;2
708;2;2
709;2;2
710;2;2
711;2;2
712;2;2
713;2;2
714;2;2
715;2;2
716;2;2
717;2;2
718;2;2
719;2;1
720;2;2
721;2;2
722;2;3
723;2;3
724;2;2
725;2;2
726;2;2
727;2;2
728;2;2
729;2;2
730;2;2
731;2;2
732;2;1
733;2;2
734;2;1
735;2;2
736;2;2
737;2;2
738;2;3
739;2;2
740;2;2
741;2;2
742;2;2
743;2;2
744;2;2
745;2;2
746;2;2
747;2;2
748;2;2
749;2;2
750;2;2
751;2;2
752;2;1
753;2;1
754;2;1
755;2;1
756;2;1
757;2;2
758;2;1
759;2;2
760;2;1
761;2;2
762;2;2
763;2;2
764;2;2
765;2;2
766;2;2
767;2;2
768;2;2
769;2;2
770;2;2
771;2;2
772;2;2
773;2;2
774;2;2
775;2;2
